,ID,Month_1,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
976,6258,0,0,0,1,0,0,0,1,0,0,0,1
977,6261,1,0,0,0,1,0,0,0,1,0,0,0
980,6288,1,0,1,0,1,0,1,0,1,0,1,0
984,6311,0,0,0,1,0,0,0,1,0,0,0,1
986,6342,1,0,1,0,1,0,1,0,1,0,1,0
988,6356,0,0,1,0,0,0,1,0,0,0,1,0
989,6365,0,1,0,0,1,0,0,1,0,0,1,0
993,6377,0,0,0,0,1,0,0,0,1,0,0,0
994,6384,0,1,0,0,1,0,0,1,0,0,1,0
995,6385,0,0,0,0,1,0,0,0,1,0,0,0
996,6386,0,0,0,1,0,0,0,1,0,0,0,1
998,6399,0,0,1,0,0,0,1,0,0,0,1,0
1004,6456,0,0,0,0,1,0,0,0,1,0,0,0
1005,6477,0,0,1,0,0,0,1,0,0,0,1,0
1006,6484,0,0,0,1,0,0,0,1,0,0,0,1
1007,6498,0,0,0,1,0,0,0,1,0,0,0,1
1008,6510,0,0,0,0,1,0,0,0,1,0,0,0
1011,6529,1,0,0,1,0,0,1,0,0,1,0,0
1014,6545,0,0,0,1,0,0,0,1,0,0,0,1
1016,6552,1,0,0,1,0,0,1,0,0,1,0,0
1018,6556,0,0,0,0,1,0,0,0,1,0,0,0
1023,6600,0,0,1,0,0,1,0,0,1,0,0,1
1024,6615,1,0,0,1,0,0,1,0,0,1,0,0
1026,6630,0,0,1,0,0,0,1,0,0,0,1,0
1029,6669,1,0,1,0,1,0,1,0,1,0,1,0
1032,6694,1,0,1,0,1,0,1,0,1,0,1,0
1037,6732,1,0,1,0,1,0,1,0,1,0,1,0
1038,6734,1,0,1,0,1,0,1,0,1,0,1,0
1040,6755,1,0,1,0,1,0,1,0,1,0,1,0
1041,6758,0,0,0,0,1,0,0,0,1,0,0,0
1043,6768,1,0,1,0,1,0,1,0,1,0,1,0
1044,6787,0,1,0,0,0,1,0,0,0,1,0,0
1045,6791,1,0,1,0,1,0,1,0,1,0,1,0
1047,6800,1,0,1,0,1,0,1,0,1,0,1,0
1048,6812,1,0,1,0,1,0,1,0,1,0,1,0
1051,6825,1,0,1,0,1,0,1,0,1,0,1,0
1056,6858,0,0,1,0,0,0,1,0,0,0,1,0
1058,6868,0,0,0,0,1,0,0,0,1,0,0,0
1059,6874,1,0,1,0,1,0,1,0,1,0,1,0
1062,6879,0,1,0,0,1,0,0,1,0,0,1,0
1065,6892,0,1,0,0,1,0,0,1,0,0,1,0
1068,6908,1,0,0,0,1,0,0,0,1,0,0,0
1075,6957,1,0,1,0,1,0,1,0,1,0,1,0
1076,6958,0,0,0,1,0,0,0,1,0,0,0,1
1078,6960,0,0,0,1,0,0,0,1,0,0,0,1
1080,6965,1,0,1,0,1,0,1,0,1,0,1,0
1085,7028,0,1,0,0,1,0,0,1,0,0,1,0
1087,7041,1,0,1,0,1,0,1,0,1,0,1,0
1091,7052,1,0,1,0,1,0,1,0,1,0,1,0
1094,7073,0,0,0,1,0,0,0,1,0,0,0,1
1104,7147,0,1,0,0,0,1,0,0,0,1,0,0
1109,7208,0,0,1,0,0,0,1,0,0,0,1,0
1111,7227,1,0,1,0,1,0,1,0,1,0,1,0
1116,7259,0,1,0,0,0,1,0,0,0,1,0,0
1117,7270,0,0,1,0,0,1,0,0,1,0,0,1
1118,7274,0,1,0,0,0,1,0,0,0,1,0,0
1119,7282,1,0,1,0,1,0,1,0,1,0,1,0
1123,7321,0,0,1,0,0,1,0,0,1,0,0,1
1126,7364,1,0,1,0,1,0,1,0,1,0,1,0
1127,7374,0,0,0,1,0,0,0,1,0,0,0,1
1128,7375,1,0,1,0,1,0,1,0,1,0,1,0
1134,7406,1,0,1,0,1,0,1,0,1,0,1,0
1140,7444,1,0,1,0,1,0,1,0,1,0,1,0
1142,7463,0,0,1,0,0,0,1,0,0,0,1,0
1147,7491,1,0,1,0,1,0,1,0,1,0,1,0
1148,7492,0,0,1,0,0,0,1,0,0,0,1,0
1149,7494,1,0,0,1,0,0,1,0,0,1,0,0
1150,7501,1,0,0,0,1,0,0,0,1,0,0,0
1152,7541,1,0,1,0,1,0,1,0,1,0,1,0
1156,7575,1,0,0,1,0,0,1,0,0,1,0,0
1157,7609,0,0,0,0,1,0,0,0,1,0,0,0
1163,7673,0,1,0,0,0,1,0,0,0,1,0,0
1165,7679,1,0,0,1,0,0,1,0,0,1,0,0
1166,7680,1,0,1,0,1,0,1,0,1,0,1,0
1167,7691,0,0,0,1,0,0,0,1,0,0,0,1
1169,7714,0,0,1,0,0,0,1,0,0,0,1,0
1170,7735,1,0,1,0,1,0,1,0,1,0,1,0
1173,7748,1,0,0,0,1,0,0,0,1,0,0,0
1176,7762,0,0,1,0,0,0,1,0,0,0,1,0
1186,7822,0,0,0,0,1,0,0,0,1,0,0,0
1188,7825,0,1,0,0,1,0,0,1,0,0,1,0
1189,7833,1,0,1,0,1,0,1,0,1,0,1,0
1197,7883,0,0,0,0,1,0,0,0,1,0,0,0
1199,7903,0,1,0,0,1,0,0,1,0,0,1,0
1203,7939,0,1,0,0,0,1,0,0,0,1,0,0
1205,7974,1,0,1,0,1,0,1,0,1,0,1,0
1206,7976,1,0,0,1,0,0,1,0,0,1,0,0
1208,7992,1,0,1,0,1,0,1,0,1,0,1,0
